kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
FOSTER,A730827,40229,FOSTER,RETURN,2023-02-02 00:00:00,STRAY,TRANSFER,RESCUE GRP,2023-02-04 00:00:00,DOG,S,N,PUPPY,BLACK / WHITE,SCHNAUZER STAND / MIX,40218,20492
ACO UNIT,A730859,40204,STRAY,FIELD,2023-01-22 00:00:00,STRAY,EUTH,INHUMANE,2023-01-22 00:00:00,CAT,U,N,LARGE,WHITE / ORANGE,DOMESTIC SH,40218,20493
TNR/SNR,A730903,40272,STRAY,OTC,2023-01-23 00:00:00,STRAY,SNR,,2023-01-25 00:00:00,CAT,N,N,MED,BRN TABBY / WHITE,DOMESTIC SH,40229,20494
TNR/SNR,A730963,40272,STRAY,OTC,2023-01-25 00:00:00,STRAY,SNR,,2023-01-27 00:00:00,CAT,S,N,MED,GRAY TABBY,DOMESTIC SH,40229,20495
ID06,A731229,40299,STRAY,OTC,2023-01-29 00:00:00,STRAY,RTO,,2023-01-30 00:00:00,DOG,S,N,MED,BLACK / BROWN,GERM SHEPHERD,40245,20496
FOUND,A731268,,FOUND,WEB,2023-01-30 00:00:00,,,,,CAT,M,,MED,UNKNOWN,DOMESTIC SH,40229,20497
N42,A731276,40210,STRAY,OTC,2023-01-30 00:00:00,STRAY,ADOPTION,WALK IN,2023-02-04 00:00:00,CAT,N,N,KITTN,GRAY,DOMESTIC SH,40210,20498
CW11,A696028,40272,FOSTER,RETURN,2021-09-03 00:00:00,STRAY,ADOPTION,FOSTER,2021-09-03 00:00:00,CAT,S,N,KITTN,TORTIE PT,SIAMESE,40228,20499
LOST,A696035,,LOST,WEB,2021-07-22 00:00:00,,,,,CAT,M,,,UNKNOWN,DOMESTIC SH,40217,20500
N08,A696194,40272,STRAY,OTC,2021-07-28 00:00:00,STRAY,ADOPTION,WALK IN,2021-08-13 00:00:00,DOG,S,N,MED,BROWN,BOXER / MIX,47130,20501
K202B,A713410,40205,STRAY,OTC,2022-03-29 00:00:00,STRAY,TRANSFER,KHS,2022-04-10 00:00:00,DOG,F,N,PUPPY,GRAY,PIT BULL,40059,20502
INTAKE,A734351,40220,STRAY,OTC,2023-06-27 00:00:00,STRAY,TNR,CARETAKER,2023-06-29 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40220,20503
INTAKE,A734407,40272,STRAY,OTC,2023-07-05 00:00:00,STRAY,TNR,CARETAKER,2023-07-07 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40272,20504
INTAKE,A734409,40272,STRAY,OTC,2023-07-05 00:00:00,STRAY,TNR,CARETAKER,2023-07-07 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40272,20505
INTAKE,A734417,40258,STRAY,OTC,2023-07-05 00:00:00,STRAY,TNR,CARETAKER,2023-07-07 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40258,20506
INTAKE,A734445,40212,STRAY,OTC,2023-07-11 00:00:00,STRAY,TNR,CARETAKER,2023-07-13 00:00:00,CAT,U,N,MED,BLACK,DOMESTIC SH,40212,20507
